part,kind,what it does,when it runs,how long it takes,what it needs,what it produces,what breaks if it stops
"F&O capture loop","job","Asks Kite for a live quote on every F&O contract in scope (about 27,400 contracts across 216 underlyings) and stores it raw. Also totals call and put OI and volume per underlying, and records the spot price.","Every 15 minutes during a trading session, 20 seconds after each candle close: 09:30, 09:45 ... 15:30, plus one at 15:45 after the close. 26 readings a day. Sleeps through weekends and holidays.","28 to 40 seconds a reading. Measured on 18 Sep: 9 readings, fastest 28.1s, slowest 40.1s, 56-57 Kite requests each.","A valid Kite token; the NFO instrument list; the single-writer lock on db/derivatives.db.","db/derivatives.db: snapshots (about 27,240 rows a reading), underlying_snapshots, contracts, captures.","The tab freezes on the last reading it got. Those readings can never be recovered as live quotes - only rebuilt from candles, which carry no traded average price, so premium and the whole liquidity screen are lost for those hours for ever."
"F&O metrics loop","job","Turns each captured reading into the numbers the tab shows: OI build-up, volume against its own average, volume-to-OI, premium in rupees, PCR, max pain, futures basis, the unusual flags.","Every 60 seconds, all day. Picks up any reading from the last 24 hours that has snapshots but no metrics, oldest first, up to 40 at a time.","8 to 10 seconds per reading of about 10,000 contract rows (measured, logs/recompute_seeded.log, 19 Sep). A full 27,000-row reading should be roughly 25-30s - not verified.","The capture loop to have written snapshots first. Write access to db/derivatives.db.","db/derivatives.db: metrics - one row per contract per reading, plus one per underlying and expiry.","Capture keeps running but the tab shows nothing new. Every block on the Derivative tab reads metrics, not snapshots."
"Retention prune","job","Deletes rows older than the keep-windows, after first rolling each day being trimmed into a permanent daily summary.","Once a calendar day, from inside the capture loop, only after the day last reading is done and never before 15:45.","Not yet measured - it has never had anything to delete. The store is three days old.","The capture loop to be running. It refuses outright if a window would reach the session the tab is serving.","Deletes from snapshots, metrics, candles_15m, underlying_snapshots. Writes daily_rollups.","The store grows without limit: about 223 MB a trading day, roughly 55 GB in a year under the old windows, about 12.8 GB under the current ones."
"Daily roll-up","job","Compresses a whole session of 15-minute rows for one contract into one row: open, high, low, close, volume, OI at open and close, premium.","Automatically, inside the prune, for any day about to lose detail. Can also be run by hand for one date.","Not measured.","snapshots or candles_15m for that day.","db/derivatives.db: daily_rollups, kept for ever. Currently 0 rows.","Pruning would destroy history instead of compressing it. Nothing on the tab reads daily_rollups today."
"15-minute backfill","job","Downloads the exchange own 15-minute candles with open interest for the last 10 sessions, so a versus-its-own-average baseline exists on day one.","By hand only. No schedule. Last full run 18 Sep 2026.","2 hours 6 minutes for full scope. Measured: 917,981 rows, 15,098 contracts, 15,100 requests, 7,550 seconds, 2 contracts a second.","A valid Kite token. Hours of Kite rate budget.","db/derivatives.db: candles_15m (2.68 million rows, 329 MB), backfill_progress.","New contracts have no history, so volume-against-its-own-average says no baseline instead of giving a number."
"Daily futures backfill","job","Downloads each in-scope futures contract own daily candles. A contract lives about three months, so one request covers its whole life.","By hand only. No schedule.","One request per futures contract; a full run is about 432 requests. Not verified - it has never completed.","A valid Kite token.","db/derivatives.db: candles_day.","Already broken. candles_day is EMPTY today - 0 rows, verified. That is why the Daily candles button on the futures chart is greyed out on every symbol. The only run on record, 19 Sep, returned 0 rows and 2 errors."
"Seed from candles","job","Rebuilds a past session 15-minute readings from the exchange candles when the live loop missed them. Marks every rebuilt row as candle-derived, never as a live quote.","By hand only, after a session has closed.","About 90 seconds for one session. Measured 19 Sep: 165,692 rows over 17 readings for 10,628 contracts in 1 minute 33 seconds.","candles_15m already backfilled for that session; a valid Kite token for the spot leg.","db/derivatives.db: snapshots with source = kite.candles_15m and average_price left empty.","A missed afternoon stays completely blank instead of partly recovered. Note what it rebuilds can never carry premium, and on 19 Sep the spot leg failed on every symbol because the Kite token was dead."
"Equity 15-minute price loop","job","Keeps the ordinary stock price candles current for the rest of the app - Discover, the charts, the status chip.","Every 300 seconds while the market is open; idles 1,800 seconds when closed.","77 seconds a cycle, measured 20 Sep - but that cycle produced 0 rows and 210 errors because the Kite token was rejected.","A valid Kite token; db/kanida.db read-only for the stock list.","db/market15.db: candles_15m, daily_bars, ingest_runs, quarantine.","The Derivative tab is NOT affected - it reads none of this. The rest of the app goes stale."
"Pattern scanner","job","Finds chart patterns for the Discover tab.","Polls every 60 seconds.","Not measured here.","db/kanida.db or db/market15.db, read-only.","market_scanner/output/scanner.sqlite3.","The Derivative tab is NOT affected - it never calls the scanner."
"Kite token auth worker","job","Logs in to Zerodha and mints a fresh access token. Lives in a different project on the Desktop, not in this repo.","Windows Scheduled Task KanidaZerodhaAuth, every 30 minutes all week - but the script itself exits immediately outside 06:00-16:30 IST and does nothing at all on Saturday or Sunday.","Seconds.","A working browser-automation login.","A row in the kite_tokens table of the Desktop project database.","EVERYTHING that touches Kite stops: capture, backfill, seed, equity prices. This is the single point of failure for the whole pipeline, and it was failing when this was written - auto-auth ran but did not mint a new token, 20 Sep 07:08."
"Pilot web server","job","Serves the app and all 16 Derivative routes. Opens db/derivatives.db read-only.","Runs continuously on port 8082. Started by hand with kanida-app/scripts/start-pilot.ps1.","n/a","db/derivatives.db to read; var/pilot.sqlite3 for sign-in.","The web pages and the JSON the tab draws with.","The whole app is down."
"/api/derivatives/status","API","Is there any F&O data, how fresh is it, what liquidity floors are in force.","On demand. Nothing polls on a timer.","18 ms","A signed-in member; db/derivatives.db readable.","2.7 KB of JSON","The tab header cannot say how fresh the data is."
"/api/derivatives/capture","API","Did the capture actually work at this reading, and which fields are missing. Built after the outage that left the global status chip saying healthy.","On demand - but NOTHING calls it yet. Server-side only, with tests.","1.2 ms","A signed-in member.","1.2 KB of JSON","Nothing - it is not wired into the screen yet."
"/api/derivatives/filters","API","What can be filtered on, and the legal values for each.","On demand, once when the tab opens.","36 ms","A signed-in member.","81 KB of JSON","The filter builder cannot offer any choices."
"/api/derivatives/screener","API","The main market screen: one row per underlying with volume, OI, premium, build-up counts and the per-contract unusual evidence.","On demand - when the tab opens, on a filter change, on refresh.","167 ms median, 192 ms slowest of 7","A signed-in member; the metrics table populated.","390 KB of JSON. 378 KB of that is the rows, and 167 KB of the rows is the per-contract evidence added by the P06 fix.","The main screen is empty and no other block has a symbol to follow."
"/api/derivatives/unusual","API","The older, narrower unusual-activity list per underlying.","On demand - but the tab no longer calls it. Superseded by the screener.","294 ms median, 680 ms slowest","A signed-in member.","3.8 KB of JSON","Nothing today."
"/api/derivatives/chain","API","The option chain: calls, strike, puts, at one reading.","On demand, when a symbol is chosen.","43 ms","A signed-in member; an underlying.","121 KB of JSON","The option chain block shows its empty state."
"/api/derivatives/oi-by-strike","API","Open interest by strike, calls against puts.","On demand.","38 ms","A signed-in member; an underlying.","20 KB of JSON","The OI-by-strike block shows its empty state."
"/api/derivatives/oi-grid","API","Ten small series - the at-the-money call and the four strikes above it, the at-the-money put and the four below - showing OI added or removed since the previous close.","On demand.","7 ms","A signed-in member; an underlying.","21 KB of JSON","The delta-OI grid empties, and the IV grid empties with it - the IV tiles get their ten contracts from this route."
"/api/derivatives/indices","API","The index overview list.","On demand.","3 ms","A signed-in member.","17 KB of JSON","The index panel empties, and the tab loses its fallback symbol."
"/api/derivatives/futures","API","The cross-market futures list.","On demand.","72 ms","A signed-in member.","46 KB of JSON","The futures list empties."
"/api/derivatives/futures-chart","API","The front futures contract own candles for the price chart.","On demand, and again when the reader switches 15-minute to daily.","624 ms for 15-minute. 0.6 ms for daily, because daily is empty.","A signed-in member; an underlying that has a futures contract.","57 KB for 15-minute; 3.7 KB for daily.","The price chart at the top of the tab goes blank. This is the slowest route on the tab by a factor of four."
"/api/derivatives/series","API","One contract price and OI through the session, or the underlying spot and total OI.","On demand, when a strike or tile is clicked.","0.7 ms","A signed-in member.","6.8 KB of JSON","The linked panel beside the chart empties."
"/api/derivatives/pcr-series","API","Put-call ratio by OI and by volume at every reading of the session.","On demand.","5 ms","A signed-in member; an underlying.","14 KB of JSON","The PCR block empties."
"/api/derivatives/maxpain-series","API","The max-pain strike and the spot beside it at every reading.","On demand.","5 ms","A signed-in member; an underlying.","15 KB of JSON","The max-pain block empties."
"/api/derivatives/iv-series","API","Implied volatility through the session. The ONLY number on the tab that is calculated rather than captured - Kite does not supply it.","On demand. Called once for the block, plus once per tile in the 2x5 IV grid - so up to 11 calls for one symbol.","20 ms each","A signed-in member; an underlying; a spot price at that reading.","65 KB of JSON each","The IV block and the ten IV tiles empty."
"/api/derivatives/futures-buildup","API","Front futures OI against its own average, and the basis, through the session.","On demand.","4 ms","A signed-in member; an underlying.","15 KB of JSON","The futures build-up block empties."
"derivatives.db . contracts","table","One row per F&O contract ever seen: symbol, underlying, call or put or future, strike, expiry, lot size.","Refreshed by the capture loop when it resolves scope.","-","Grows as new expiries list. Old rows are never deleted.","36,077 rows, 5.9 MB, kept for ever.","The tab cannot name a strike or an expiry."
"derivatives.db . snapshots","table","One row per contract per 15-minute reading: last price, the day traded average price, volume, open interest. The raw record.","Written by the capture loop at every reading.","-","About 74 MB a trading day at full scope.","427,031 rows, 85 MB plus a 21 MB retired index, kept 30 days.","Nothing can be recomputed. The raw input is gone."
"derivatives.db . metrics","table","One row per contract per reading and one per underlying-and-expiry, holding every number the tab prints.","Written by the metrics loop, within a minute of each capture.","-","About 113 MB a trading day.","438,213 rows, 121 MB plus 80 MB of indexes, kept 90 days.","The Derivative tab goes blank. This is the table it actually reads."
"derivatives.db . candles_15m","table","The exchange own 15-minute bars with open interest, per contract. The history the versus-its-own-average baselines stand on.","Written by the backfill.","-","About 37 MB a trading day.","2,675,883 rows over 14 sessions (31 Aug to 18 Sep), 329 MB plus an 83 MB index, kept 180 days.","All unusual-volume baselines fall back to no baseline."
"derivatives.db . candles_day","table","Each futures contract own daily bars.","Written by the daily backfill.","-","-","0 rows - EMPTY. Kept for ever.","Already broken: the Daily candles toggle on the futures chart is dead on every symbol."
"derivatives.db . underlying_snapshots","table","One row per underlying per reading: spot, front futures price, total call and put OI and volume.","Written by the capture loop at every reading.","-","About 5,600 rows a day, under 1 MB.","5,668 rows, 0.8 MB, kept 90 days.","The index overview panel loses its spot and totals. NOTE: another worker is adding a spot_source column here right now."
"derivatives.db . daily_rollups","table","One row per contract per session - the permanent summary that survives the prune.","Written by the prune, and by the rollup command.","-","Only written when a prune happens.","0 rows. Kept for ever.","History is deleted instead of compressed when the prune finally runs."
"derivatives.db . captures","table","One row per 15-minute reading: did it run, how many rows, how many requests, how many seconds, how late. The run ledger.","Written twice per reading - at the start and at the end.","-","26 rows a day.","26 rows (18 Sep only), under 0.1 MB, kept for ever.","The loop loses its memory of what it has already done and could double-capture or skip."
"derivatives.db . backfill_progress","table","One row per contract per backfill window - what was already fetched, so a rerun resumes instead of starting over.","Written during a backfill.","-","Grows per backfill run.","15,704 rows, 1.5 MB, kept for ever.","A rerun of the backfill refetches everything from scratch - another two hours of Kite budget."
"derivatives.db . runs","table","One row per backfill, seed or prune run.","Written at the start and end of each such run.","-","A few rows a run.","13 rows, under 0.1 MB, kept for ever.","No record of what was rebuilt when."
"derivatives.db . meta","table","Three settings: when scope was resolved, the scope counts, the newest live reading.","Written by the capture loop.","-","-","3 rows, under 0.1 MB, kept for ever.","The tab loses its pointer to the newest real reading."
"db/derivatives.db","file","The only store the Derivative tab reads. 664 MB on disk plus a 615 MB write-ahead log - about 1.3 GB in total today, for three sessions of data.","Read on every request; written by the capture and metrics loops.","-","SQLite in WAL mode; the advisory writer-lock file beside it.","All eleven tables above.","The whole tab goes to: No F&O data captured yet."
"db/derivatives.db.writer.lock","file","The advisory lock that stops two writers colliding. The capture command takes it; the metrics loop does NOT - it relies on a 60-second SQLite busy timeout instead.","Held while a capture command runs.","-","-","-","Two writers could collide. In practice SQLite blocks rather than corrupts, but a long prune could stall a metrics pass."
"db/derivatives_cache/","file","A local copy of the Kite NFO instrument dump, so scope can be resolved without refetching.","Refreshed when scope is resolved.","-","-","The instrument list.","Scope resolution needs a fresh Kite call every time."
"db/market15.db","file","The ordinary stock-price store, 18.2 GB. Feeds Discover, the charts and the status chip.","Written every 5 minutes by the equity loop.","-","-","-","NOT read by the Derivative tab. The rest of the app goes stale. NOTE: another worker may start reading it here, to recover missing spot prices."
"db/kanida.db","file","The old 147 GB engine store. Last received a price on 31 Jul 2026. Kept alive mainly for a 0.2 MB table of stock names and sectors.","Read-only, occasionally.","-","-","-","NOT read by the Derivative tab. Company names elsewhere in the app go missing."
"kanida-app/var/pilot.sqlite3","file","The app own small database: users, sign-in sessions, invites, plans, watchlists. 1.3 MB.","Read on every request.","-","-","-","Nobody can sign in, so every Derivative route answers not-a-member. The data is fine but unreachable."
"kanida-app/var/last_good.sqlite3","file","A cache of the last good answer for the Discover reads, so the app can show the last scan while the scanner restarts.","-","-","-","-","NOT used by the Derivative tab - the derivative routes deliberately do not cache."
"kanida-app/var/pattern_history.sqlite3","file","Offline price-movement history for two chart patterns. 175 MB.","-","-","-","-","NOT used by the Derivative tab."
"kanida-app/var/research_index.sqlite3","file","Per-strategy counts for the Discover tab, rebuilt by a background thread inside the server every 30 minutes. 154 MB.","-","-","-","-","NOT used by the Derivative tab."
"logs/derivatives_capture_live.log","file","The capture loop own log - the only place a missed reading shows up early.","Appended at every reading.","-","-","-","Nothing watches this file. A dead loop is invisible until someone opens the tab and notices the clock has stopped."
